2019-05-27,56.24
2019-06-22,57.32
2019-08-06,59.7557
2019-08-20,62.2557
2019-08-31,63.2557
2019-09-16,66.2357
2019-10-09,67.2357
2019-11-03,71.0557
2019-11-24,72.0357
2020-01-22,74.1457
2020-03-15,76.1257
2020-03-21,77.2057
2020-03-26,78.1957
2020-04-01,79.6957
2020-04-26,80.8957
2020-05-14,83.1957
2020-05-27,84.1857
2020-05-30,85.2357
2020-06-13,87.2257
2020-06-27,88.2257
2020-06-30,89.3457
2020-07-16,90.4457
2020-08-05,91.4357
2020-08-15,92.5557
2020-09-12,93.5457
2020-09-24,94.7457
2020-10-10,96.8157
2020-10-26,97.8057
2020-11-14,98.7957
2020-12-14,99.7857
2020-12-23,101.8257
2021-01-03,102.9057
2021-01-10,103.9057
2021-01-14,104.8957
2021-01-24,105.8857
2021-01-27,106.8757
2021-01-30,107.8657
2021-02-10,108.8557
2021-02-21,110.8357
2021-03-05,111.9557
2021-03-31,114.0457
2021-04-01,115.0357
2021-04-19,116.1157
2021-04-28,117.1057
2021-05-03,118.2057
2021-05-15,119.2857
2021-05-28,120.2857
2021-06-03,121.7757
2021-06-09,122.7657
2021-06-22,123.7557
2021-07-04,125.9457
2021-07-11,126.9357
2021-07-16,128.0357
2021-07-30,129.2357
2021-08-05,130.2257
2021-08-10,131.3057
2021-08-14,132.2957
2021-08-26,133.4157
2021-09-06,133.9157
2021-09-25,134.9057
2021-09-30,136.9757
2021-10-04,137.9657
2021-10-14,138.9557
2021-10-25,141.0557
2021-11-04,142.0457
2021-11-23,142.5457
2021-12-01,143.7457
2021-12-07,144.7457
2021-12-19,146.4457
2021-12-24,147.4357
2021-12-30,148.4257
2022-01-07,149.4757
2022-01-17,151.4557
2022-01-20,152.4457
2022-01-29,153.4357
2022-02-10,158.1157
2022-02-13,159.1057
2022-02-20,160.1857
2022-03-05,160.6857
2022-03-11,161.1857
2022-03-18,161.6857
2022-03-20,164.3157
2022-03-31,164.8157
2022-04-12,165.8157
2022-04-23,166.8957
2022-04-29,168.8757
2022-05-05,169.9757
2022-05-08,171.5957
2022-05-15,172.5857
2022-06-04,174.6557
2022-06-24,175.8557
2022-07-01,176.8457
2022-07-10,177.9457
2022-07-13,180.1457
2022-07-19,181.6357
2022-07-20,182.6257
2022-07-22,183.8257
2022-08-04,184.9257
2022-08-13,187.0157
2022-08-15,188.0057
2022-08-19,189.2057
2022-09-01,189.7057
2022-09-12,192.2757
2022-09-25,193.3257
2022-09-28,193.8257
2022-09-30,195.0257
2022-10-07,196.0757
2022-10-14,197.0657
2022-10-21,198.1457
2022-11-18,200.4257
2022-11-29,201.5457
2022-12-03,203.7857
2022-12-09,204.7757
2022-12-17,205.8957
2022-12-21,206.8957
2022-12-28,208.0157
2022-12-30,209.0957
2023-01-01,210.0857
2023-01-05,211.1357
2023-01-10,212.2557
2023-01-24,213.2457
2023-02-04,215.2257
2023-02-09,216.2257
2023-02-13,217.3257
2023-03-02,218.4257
2023-03-04,218.9257
2023-04-01,220.4257
2023-04-04,221.5057
2023-04-07,222.4957
2023-04-11,222.9957
2023-04-30,225.1557
2023-05-03,226.1457
2023-05-08,227.1357
